LG	n_loci	avg_dist
LG21	152	147912.496689
LG20	153	158012.894737
LG23	151	153076.7
LG22	142	149739.964539
LG09	171	143915.752941
LG08	165	156345.981707
LG07	175	174536.781609
LG06	152	167038.258278
LG05	169	142332.839286
LG04	160	215321.100629
LG03	172	168178.444444
LG02	142	165998.524823
LG01	212	132759.957346
LG18	153	144369.552632
LG19	113	183674.357143
LG14	206	140823.04878
LG15	188	139691.042781
LG16	178	172766.084746
LG17	102	183157.009901
LG10	143	175566.838028
LG11	212	131539.677725
LG12	143	189072.93662
LG13	188	134022.064171
