individual	n_missing	p_missing
JUK07_36.1_92bp	221	0.0388127853881
JUK07_37.1_92bp	232	0.0407446434844
JUK07_10_92bp	1538	0.270108886547
JUK07_13_92bp	419	0.0735862311205
JUK07_21_92bp	442	0.0776255707763
JUK07_23_92bp	221	0.0388127853881
JUK07_34_92bp	317	0.0556726378644
JUK07_04_92bp	382	0.0670881629786
JUK07_12_92bp	1759	0.308921671935
JUK07_31_92bp	206	0.0361784334387
JUK07_11_92bp	310	0.0544432736214
JUK07_06_2_92bp	206	0.0361784334387
JUK07_08_92bp	191	0.0335440814893
JUK07_33_92bp	211	0.0370565507552
JB121807_01_92bp	283	0.0497014401124
JB121807_03.1_92bp	278	0.0488233227959
JB121807_04.1_92bp	2447	0.429750614682
JB121807_05_92bp	1396	0.245170354759
JB121807_06.1_92bp	260	0.0456621004566
JB121807_07.1_92bp	5694	1.0
JB121807_08_92bp	246	0.0432033719705
JB121807_08_rep_92bp	279	0.0489989462592
JB121807_09.1_92bp	2812	0.493853178785
JB121807_11.1_92bp	196	0.0344221988058
JB121807_12.1_92bp	1532	0.269055145767
JB121807_14.1_92bp	550	0.0965929048121
JB121807_16.1_92bp	2006	0.352300667369
JB121807_19.1_92bp	307	0.0539164032315
JB121807_20.1_92bp	358	0.0628731998595
JB121807_21.1_92bp	653	0.114682121531
JB121807_23_92bp	2216	0.389181594661
JB121807_24.1_92bp	379	0.0665612925887
JB121807_25_92bp	1356	0.238145416228
JB121807_27_92bp	1536	0.269757639621
JB121807_28.1_92bp	590	0.103617843344
JB121807_30_92bp	1371	0.240779768177
JB121807_31.1_92bp	424	0.074464348437
JB121807_32.1_92bp	517	0.0907973305234
JB121807_33.1_92bp	565	0.0992272567615
JB121807_34.1_92bp	302	0.053038285915
JB121807_35_92bp	3745	0.657709870039
JB121807_37_92bp	350	0.0614682121531
JB121807_38.1_92bp	552	0.0969441517387
JB121807_41.1_92bp	1821	0.31981032666
JB121807_42_92bp	945	0.165964172813
JB121807_44_92bp	290	0.0509308043555
JB121807_45.1_92bp	2859	0.50210748156
JB121807_46_92bp	514	0.0902704601335
JB121807_47_92bp	4532	0.795925535652
JB121807_48.1_92bp	1728	0.303477344573
JB121807_10_c_92bp	5147	0.903933965578
JB121807_13_c_92bp	2374	0.416930101862
JB121807_22_c_92bp	1269	0.222866174921
JB121807_26_c_92bp	811	0.142430628732
JB121807_36_c_92bp	3433	0.602915349491
JB121807_39_92bp	232	0.0407446434844
JB121807_03_rep_92bp	257	0.0451352300667
JB121807_05_2_92bp	242	0.0425008781173
JB121807_35_2_92bp	996	0.174920969442
JB121807_47_2_92bp	2371	0.416403231472
JB121807_23_2_92bp	627	0.110115911486
JB121807_27_2_92bp	371	0.0651563048823
JB121807_30_2_92bp	360	0.0632244467861
JB121807_16_2_92bp	231	0.0405690200211
JB121807_18_92bp	283	0.0497014401124
JB121807_43_92bp	238	0.0417983842641
JB121807_29_92bp	459	0.0806111696523
JB021108_01.1_92bp	2575	0.452230417984
JB021108_02.1_92bp	484	0.0850017562346
JB021108_04.1_92bp	1102	0.193537056551
JB021108_05_92bp	152	0.0266947664208
JB021108_05_rep_92bp	151	0.0265191429575
JB021108_06_92bp	301	0.0528626624517
JB021108_07.1_92bp	341	0.0598876009835
JB021108_08.1_92bp	1014	0.178082191781
JB021108_09.1_92bp	422	0.0741131015104
JB021108_10.1_92bp	2564	0.450298559888
JB021108_11_92bp	4764	0.836670179136
JB021108_12.1_92bp	221	0.0388127853881
JB021108_13.1_92bp	358	0.0628731998595
JB021108_14_92bp	2431	0.426940639269
JB021108_16_92bp	188	0.0330172110994
JB021108_17.1_92bp	294	0.0516332982086
JB021108_19.1_92bp	311	0.0546188970847
JB021108_20_92bp	1015	0.178257815244
JB021108_22.1_92bp	901	0.158236740429
JB021108_25.1_92bp	1808	0.317527221637
JB021108_26.1_92bp	492	0.086406743941
JB021108_28_92bp	2648	0.465050930804
JB021108_29_92bp	872	0.153143659993
JB021108_30_92bp	166	0.0291534949069
JB021108_31.1_92bp	3095	0.543554618897
JB021108_32_92bp	164	0.0288022479803
JB021108_33_92bp	3113	0.546715841236
JB021108_34_92bp	680	0.11942395504
JB021108_35_92bp	1073	0.188443976115
JB021108_35_rep_92bp	914	0.160519845451
JB021108_36.1_92bp	251	0.044081489287
JB021108_36_rep.1_92bp	261	0.0458377239199
JB021108_37.1_92bp	229	0.0402177730945
JB021108_37_rep.1_92bp	235	0.0412715138743
JB021108_38.1_92bp	1425	0.250263435195
JB021108_39_92bp	802	0.140850017562
JB021108_40_92bp	3627	0.63698630137
JB021108_41.1_92bp	901	0.158236740429
JB021108_44.1_92bp	219	0.0384615384615
JB021108_45_92bp	207	0.036354056902
JB021108_46.1_92bp	179	0.0314365999298
JB021108_46_rep.1_92bp	206	0.0361784334387
JB021108_47.1_92bp	208	0.0365296803653
JB021108_48.1_92bp	363	0.063751317176
JB021108_21_c_92bp	2716	0.476993326308
JB021108_27_c_92bp	5214	0.915700737619
JB021108_24_c_92bp	851	0.149455567264
JB021108_33_rep_92bp	243	0.0426765015806
JB021108_11_2_92bp	372	0.0653319283456
JB021108_28_2_92bp	1735	0.304706708816
JB021108_40_2_92bp	761	0.133649455567
JB021108_14_2_92bp	557	0.0978222690551
JB021108_25_2_92bp	1001	0.175799086758
JB021108_31_2_92bp	524	0.0920266947664
JB021108_23_92bp	635	0.111520899192
JB021108_11_rep_92bp	1786	0.313663505444
BOR07_01_92bp	1426	0.250439058658
BOR07_02.1_92bp	185	0.0324903407095
BOR07_03_92bp	466	0.0818405338953
BOR07_04_92bp	182	0.0319634703196
BOR07_05.1_92bp	190	0.033368458026
BOR07_06.1_92bp	223	0.0391640323147
BOR07_07.1_92bp	169	0.0296803652968
BOR07_08.1_92bp	183	0.0321390937829
BOR07_09_92bp	189	0.0331928345627
BOR07_10.1_92bp	245	0.0430277485072
BOR07_11.1_92bp	180	0.031612223393
BOR07_12.1_92bp	228	0.0400421496312
BOR07_13.1_92bp	200	0.0351246926589
BOR07_14_92bp	167	0.0293291183702
BOR07_15_92bp	191	0.0335440814893
BOR07_16_92bp	224	0.039339655778
BOR07_17.1_92bp	209	0.0367053038286
BOR07_18_92bp	279	0.0489989462592
BOR07_19.1_92bp	454	0.0797330523358
BOR07_20.1_92bp	172	0.0302072356867
BOR07_21.1_92bp	1438	0.252546540218
BOR07_22_92bp	186	0.0326659641728
BOR07_01_2_92bp	246	0.0432033719705
BOR07_21_2_92bp	248	0.0435546188971
GEO020414_10_92bp	1129	0.19827889006
GEO020414_11_92bp	200	0.0351246926589
