Pohang15	Geoje15	Namhae15	YellowSea16	Jukbyeon07	JinhaeBay07	JinhaeBay08	Boryeong07	Geoje14	Kodiak03	Adak06	WashCoast05	HecStrait04	SalishSea12_13	JuandeFuca12	PWSound12	UnimakPass03
10015	[0.0, 0.02702702702702703, 0.05263157894736842, 0.0, 0.0, 0.3829787234042553, 0.37254901960784315, 0.041666666666666664, 0.05714285714285714, 0.32558139534883723, 0.3939393939393939, 0.5384615384615384, 0.32558139534883723, 0.36363636363636365, 0.38095238095238093, 0.3191489361702128, 0.4090909090909091]
10074	[0.17647058823529413, 0.16216216216216217, 0.15789473684210525, 0.0, 0.05405405405405406, 0.6170212765957447, 0.49019607843137253, 0.08333333333333333, 0.14285714285714285, 0.4186046511627907, 0.5454545454545454, 0.5641025641025641, 0.16279069767441862, 0.22727272727272727, 0.3333333333333333, 0.46808510638297873, 0.5227272727272727]
10086	[0.0, 0.0, 0.0, 0.0, 0.08108108108108109, 0.3404255319148936, 0.23529411764705882, 0.041666666666666664, 0.02857142857142857, 0.27906976744186046, 0.45454545454545453, 0.5128205128205128, 0.27906976744186046, 0.2727272727272727, 0.42857142857142855, 0.2765957446808511, 0.4772727272727273]
10139	[0.0, 0.02702702702702703, 0.05263157894736842, 0.0, 0.08108108108108109, 0.0851063829787234, 0.11764705882352941, 0.0, 0.02857142857142857, 0.6744186046511628, 0.48484848484848486, 0.5897435897435898, 0.5813953488372093, 0.6363636363636364, 0.6190476190476191, 0.7446808510638298, 0.5909090909090909]
1017	[0.0, 0.0, 0.0, 0.0, 0.05405405405405406, 0.0425531914893617, 0.09803921568627451, 0.0, 0.0, 0.4883720930232558, 0.30303030303030304, 0.28205128205128205, 0.09302325581395349, 0.36363636363636365, 0.5238095238095238, 0.10638297872340426, 0.36363636363636365]
10174	[0.08823529411764706, 0.02702702702702703, 0.05263157894736842, 0.03333333333333333, 0.13513513513513514, 0.6170212765957447, 0.5490196078431373, 0.125, 0.14285714285714285, 0.06976744186046512, 0.21212121212121213, 0.46153846153846156, 0.13953488372093023, 0.13636363636363635, 0.09523809523809523, 0.23404255319148937, 0.25]
10222	[1.0, 1.0, 0.8947368421052632, 1.0, 0.918918918918919, 0.9787234042553191, 0.9803921568627451, 0.9166666666666666, 0.9714285714285714, 0.9302325581395349, 0.9090909090909091, 0.9743589743589743, 0.9302325581395349, 0.9090909090909091, 0.9523809523809523, 0.8723404255319149, 0.9772727272727273]
10241	[0.17647058823529413, 0.16216216216216217, 0.15789473684210525, 0.06666666666666667, 0.16216216216216217, 0.2553191489361702, 0.2549019607843137, 0.041666666666666664, 0.17142857142857143, 0.6744186046511628, 0.6666666666666666, 0.717948717948718, 0.813953488372093, 0.5909090909090909, 0.8571428571428571, 0.5531914893617021, 0.7272727272727273]
10260	[0.0, 0.0, 0.0, 0.06666666666666667, 0.08108108108108109, 0.3617021276595745, 0.29411764705882354, 0.041666666666666664, 0.11428571428571428, 0.4186046511627907, 0.2727272727272727, 0.5641025641025641, 0.4418604651162791, 0.3181818181818182, 0.38095238095238093, 0.44680851063829785, 0.4318181818181818]
10288	[0.058823529411764705, 0.02702702702702703, 0.15789473684210525, 0.0, 0.0, 0.0, 0.0392156862745098, 0.0, 0.02857142857142857, 0.7441860465116279, 0.9393939393939394, 0.717948717948718, 0.5813953488372093, 0.4090909090909091, 0.6190476190476191, 0.7872340425531915, 0.9318181818181818]
