# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Pohang	12	30.7815	0.6875	0.0148	0.8836	0.0175	0.0024	0.1694	0.0280	0.0030	0.8306	0.0280	0.0030	0.1707	0.0269	0.0029	0.8293	0.0269	0.0029	0.1735	0.0278	0.0030	0.0128	10.8156	0.0148
Geoje	18	48.9896	3.8963	0.0351	0.8823	0.0177	0.0024	0.1645	0.0259	0.0029	0.8355	0.0259	0.0029	0.1724	0.0266	0.0029	0.8276	0.0266	0.0029	0.1741	0.0271	0.0029	0.0440	9.2951	0.0351
Namhae	13	10.9332	0.1235	0.0063	0.8835	0.0181	0.0024	0.1759	0.0358	0.0034	0.8241	0.0358	0.0034	0.1696	0.0278	0.0030	0.8304	0.0278	0.0030	0.1777	0.0305	0.0031	0.0087	16.1658	0.0063
Jinhae Bay	24	77.3283	30.3751	0.0981	0.8830	0.0173	0.0023	0.1598	0.0235	0.0027	0.8402	0.0235	0.0027	0.1719	0.0261	0.0029	0.8281	0.0261	0.0029	0.1730	0.0265	0.0029	0.0576	8.8381	0.0981
YSBlock	95	24.5100	0.7424	0.0153	0.8818	0.0169	0.0023	0.1699	0.0267	0.0029	0.8301	0.0267	0.0029	0.1746	0.0257	0.0029	0.8254	0.0257	0.0029	0.1783	0.0268	0.0029	0.0318	9.4800	0.0153
Boryeong	83	20.8578	0.2354	0.0086	0.8802	0.0176	0.0024	0.1745	0.0285	0.0030	0.8255	0.0285	0.0030	0.1757	0.0262	0.0029	0.8243	0.0262	0.0029	0.1801	0.0275	0.0030	0.0210	10.0424	0.0086
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant Sites	Polymorphic Sites	% Polymorphic Loci	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Pohang	12	288880.0000	3140.0000	2451.0000	0.8484	30.8420	0.5633	0.0014	0.9987	0.0003	0.0000	0.0018	0.0006	0.0000	0.9982	0.0006	0.0000	0.0019	0.0006	0.0000	0.9981	0.0006	0.0000	0.0019	0.0006	0.0000	0.0001	48.5866	0.0014
Geoje	18	290628.0000	3159.0000	2569.0000	0.8839	49.1370	3.5874	0.0035	0.9987	0.0003	0.0000	0.0018	0.0006	0.0000	0.9982	0.0006	0.0000	0.0019	0.0006	0.0000	0.9981	0.0006	0.0000	0.0019	0.0006	0.0000	0.0005	48.5740	0.0035
Namhae	13	289064.0000	3142.0000	2111.0000	0.7303	10.9483	0.1032	0.0006	0.9987	0.0003	0.0000	0.0019	0.0007	0.0000	0.9981	0.0007	0.0000	0.0018	0.0006	0.0000	0.9982	0.0006	0.0000	0.0019	0.0007	0.0000	0.0001	48.6441	0.0006
Jinhae Bay	24	290628.0000	3159.0000	2600.0000	0.8946	77.7732	27.7704	0.0098	0.9987	0.0003	0.0000	0.0017	0.0005	0.0000	0.9983	0.0005	0.0000	0.0019	0.0006	0.0000	0.9981	0.0006	0.0000	0.0019	0.0006	0.0000	0.0006	48.5708	0.0098
YSBlock	95	290444.0000	3157.0000	2554.0000	0.8793	24.5914	0.6217	0.0015	0.9987	0.0003	0.0000	0.0018	0.0006	0.0000	0.9982	0.0006	0.0000	0.0019	0.0006	0.0000	0.9981	0.0006	0.0000	0.0019	0.0006	0.0000	0.0003	48.5745	0.0015
Boryeong	83	290536.0000	3158.0000	2517.0000	0.8663	20.8838	0.1929	0.0008	0.9987	0.0003	0.0000	0.0019	0.0006	0.0000	0.9981	0.0006	0.0000	0.0019	0.0006	0.0000	0.9981	0.0006	0.0000	0.0020	0.0006	0.0000	0.0002	48.5792	0.0008
