"sample"	"n_loci"	"population"	"group"
"219"	"JB021108_09.1_92bp"	24738	"JinhaeBay08"	"Korea"
"346"	"JUK07_26_92bp"	24745	"Jukbyeon07"	"Korea"
"74"	"GE011215_07.1_92bp"	24748	"Geoje15"	"Korea"
"340"	"JUK07_19_92bp"	24760	"Jukbyeon07"	"Korea"
"660"	"YS_121316_04_92bp"	24760	"YellowSea16"	"Korea"
"405"	"NA021015_02.1_92bp"	24765	"Namhae15"	"Korea"
"347"	"JUK07_27_92bp"	24772	"Jukbyeon07"	"Korea"
"406"	"NA021015_03.1_92bp"	24774	"Namhae15"	"Korea"
"427"	"PO010715_06.1_92bp"	24777	"Pohang15"	"Korea"
"297"	"JB121807_28.1_92bp"	24788	"JinhaeBay07"	"Korea"
"133"	"GEO020414_2_92bp"	24797	"Geoje14"	"Korea"
"298"	"JB121807_29_92bp"	24808	"JinhaeBay07"	"Korea"
"266"	"JB021108_48.1_92bp"	24810	"JinhaeBay08"	"Korea"
"75"	"GE011215_08.1_92bp"	24816	"Geoje15"	"Korea"
"225"	"JB021108_13.1_92bp"	24825	"JinhaeBay08"	"Korea"
"93"	"GE012315_03.1_92bp"	24831	"Geoje15"	"Korea"
"292"	"JB121807_24.1_92bp"	24840	"JinhaeBay07"	"Korea"
"82"	"GE011215_16.1_92bp"	24844	"Geoje15"	"Korea"
"68"	"BOR07_19.1_92bp"	24855	"Boryeong07"	"Korea"
"92"	"GE012315_01.1_92bp"	24858	"Geoje15"	"Korea"
"455"	"PO031715_20.1_92bp"	24873	"Pohang15"	"Korea"
"217"	"JB021108_07.1_92bp"	24885	"JinhaeBay08"	"Korea"
"419"	"NA021015_22.1_92bp"	24888	"Namhae15"	"Korea"
"314"	"JB121807_44_92bp"	24891	"JinhaeBay07"	"Korea"
"95"	"GE012315_05.1_92bp"	24892	"Geoje15"	"Korea"
"342"	"JUK07_21_92bp"	24892	"Jukbyeon07"	"Korea"
"665"	"YS_121316_18_92bp"	24897	"YellowSea16"	"Korea"
"438"	"PO010715_27.1_92bp"	24905	"Pohang15"	"Korea"
"414"	"NA021015_13.1_92bp"	24910	"Namhae15"	"Korea"
"230"	"JB021108_19.1_92bp"	24913	"JinhaeBay08"	"Korea"
"120"	"GEO020414_15_92bp"	24920	"Geoje14"	"Korea"
"650"	"YS121315_08.1_92bp"	24921	"YellowSea16"	"Korea"
"445"	"PO020515_08.1_92bp"	24924	"Pohang15"	"Korea"
"652"	"YS121315_12_300_92bp"	24932	"YellowSea16"	"Korea"
"295"	"JB121807_27_2_92bp"	24933	"JinhaeBay07"	"Korea"
"335"	"JUK07_15_92bp"	24935	"Jukbyeon07"	"Korea"
"432"	"PO010715_11.1_92bp"	24940	"Pohang15"	"Korea"
"418"	"NA021015_21.1_92bp"	24942	"Namhae15"	"Korea"
"324"	"JUK07_04_92bp"	24945	"Jukbyeon07"	"Korea"
"417"	"NA021015_17.1_92bp"	24948	"Namhae15"	"Korea"
"144"	"GEO020414_9_300_92bp"	24949	"Geoje14"	"Korea"
"123"	"GEO020414_17_300_92bp"	24952	"Geoje14"	"Korea"
"132"	"GEO020414_27_92bp"	24953	"Geoje14"	"Korea"
"88"	"GE011215_24.1_92bp"	24954	"Geoje15"	"Korea"
"308"	"JB121807_37_92bp"	24954	"JinhaeBay07"	"Korea"
"333"	"JUK07_13_92bp"	24954	"Jukbyeon07"	"Korea"
"108"	"GEO012315_18_92bp"	24955	"Geoje15"	"Korea"
"137"	"GEO020414_3_92bp"	24957	"Geoje14"	"Korea"
"248"	"JB021108_33_rep_92bp"	24958	"JinhaeBay08"	"Korea"
"416"	"NA021015_16.1_92bp"	24958	"Namhae15"	"Korea"
"442"	"PO020515_03.1_92bp"	24962	"Pohang15"	"Korea"
"139"	"GEO020414_5_92bp"	24964	"Geoje14"	"Korea"
"115"	"GEO020414_13_300_92bp"	24967	"Geoje14"	"Korea"
"269"	"JB121807_03_rep_92bp"	24967	"JinhaeBay07"	"Korea"
"268"	"JB121807_03.1_92bp"	24968	"JinhaeBay07"	"Korea"
"86"	"GE011215_21.1_92bp"	24970	"Geoje15"	"Korea"
"285"	"JB121807_18_92bp"	24973	"JinhaeBay07"	"Korea"
"434"	"PO010715_17.1_92bp"	24985	"Pohang15"	"Korea"
"331"	"JUK07_11_92bp"	24988	"Jukbyeon07"	"Korea"
"352"	"JUK07_32_92bp"	24989	"Jukbyeon07"	"Korea"
"287"	"JB121807_20.1_92bp"	24993	"JinhaeBay07"	"Korea"
"448"	"PO020515_14.1_92bp"	24995	"Pohang15"	"Korea"
"96"	"GE012315_06.1_92bp"	24996	"Geoje15"	"Korea"
"106"	"GEO012315_02_92bp"	24996	"Geoje15"	"Korea"
"109"	"GEO012315_21_92bp"	24996	"Geoje15"	"Korea"
"354"	"JUK07_34_92bp"	24997	"Jukbyeon07"	"Korea"
"431"	"PO010715_10.1_92bp"	24997	"Pohang15"	"Korea"
"430"	"PO010715_08.1_92bp"	24998	"Pohang15"	"Korea"
"435"	"PO010715_19.1_92bp"	25002	"Pohang15"	"Korea"
"85"	"GE011215_20.1_92bp"	25006	"Geoje15"	"Korea"
"350"	"JUK07_30_92bp"	25006	"Jukbyeon07"	"Korea"
"103"	"GE012315_17.1_92bp"	25007	"Geoje15"	"Korea"
"304"	"JB121807_34.1_92bp"	25014	"JinhaeBay07"	"Korea"
"656"	"YS121315_15_92bp"	25014	"YellowSea16"	"Korea"
"255"	"JB021108_37_rep.1_92bp"	25015	"JinhaeBay08"	"Korea"
"254"	"JB021108_37.1_92bp"	25019	"JinhaeBay08"	"Korea"
"356"	"JUK07_37.1_92bp"	25019	"Jukbyeon07"	"Korea"
"440"	"PO010715_29.1_92bp"	25019	"Pohang15"	"Korea"
"221"	"JB021108_11_2_92bp"	25020	"JinhaeBay08"	"Korea"
"299"	"JB121807_30_2_92bp"	25023	"JinhaeBay07"	"Korea"
"353"	"JUK07_33_92bp"	25025	"Jukbyeon07"	"Korea"
"77"	"GE011215_10.1_92bp"	25027	"Geoje15"	"Korea"
"80"	"GE011215_14.1_92bp"	25027	"Geoje15"	"Korea"
"253"	"JB021108_36_rep.1_92bp"	25028	"JinhaeBay08"	"Korea"
"349"	"JUK07_29.1_92bp"	25032	"Jukbyeon07"	"Korea"
"355"	"JUK07_36.1_92bp"	25033	"Jukbyeon07"	"Korea"
"286"	"JB121807_19.1_92bp"	25034	"JinhaeBay07"	"Korea"
"451"	"PO020515_17.1_92bp"	25034	"Pohang15"	"Korea"
"94"	"GE012315_04.1_92bp"	25035	"Geoje15"	"Korea"
"135"	"GEO020414_30_2_92bp"	25035	"Geoje14"	"Korea"
"252"	"JB021108_36.1_92bp"	25036	"JinhaeBay08"	"Korea"
"415"	"NA021015_14.1_92bp"	25041	"Namhae15"	"Korea"
"138"	"GEO020414_4_92bp"	25047	"Geoje14"	"Korea"
"450"	"PO020515_16.1_92bp"	25047	"Pohang15"	"Korea"
"337"	"JUK07_16_rep.1_92bp"	25049	"Jukbyeon07"	"Korea"
"58"	"BOR07_09_92bp"	25050	"Boryeong07"	"Korea"
"449"	"PO020515_15.1_92bp"	25053	"Pohang15"	"Korea"
"81"	"GE011215_15.1_92bp"	25057	"Geoje15"	"Korea"
"121"	"GEO020414_16_300_92bp"	25057	"Geoje14"	"Korea"
"97"	"GE012315_08.1_92bp"	25058	"Geoje15"	"Korea"
"336"	"JUK07_16.1_92bp"	25061	"Jukbyeon07"	"Korea"
"67"	"BOR07_18_92bp"	25062	"Boryeong07"	"Korea"
"327"	"JUK07_08_92bp"	25064	"Jukbyeon07"	"Korea"
"216"	"JB021108_06_92bp"	25066	"JinhaeBay08"	"Korea"
"117"	"GEO020414_14_300_92bp"	25068	"Geoje14"	"Korea"
"284"	"JB121807_16_2_92bp"	25068	"JinhaeBay07"	"Korea"
"328"	"JUK07_09.1_92bp"	25069	"Jukbyeon07"	"Korea"
"329"	"JUK07_09_rep.1_92bp"	25072	"Jukbyeon07"	"Korea"
"261"	"JB021108_44.1_92bp"	25074	"JinhaeBay08"	"Korea"
"674"	"YS_121316_25_92bp"	25075	"YellowSea16"	"Korea"
"71"	"BOR07_21_2_92bp"	25079	"Boryeong07"	"Korea"
"322"	"JUK07_02_rep.1_92bp"	25079	"Jukbyeon07"	"Korea"
"344"	"JUK07_23_92bp"	25081	"Jukbyeon07"	"Korea"
"675"	"YS_121316_26_92bp"	25082	"YellowSea16"	"Korea"
"441"	"PO020515_01_92bp"	25088	"Pohang15"	"Korea"
"273"	"JB121807_06.1_92bp"	25090	"JinhaeBay07"	"Korea"
"456"	"PO031715_23_92bp"	25094	"Pohang15"	"Korea"
"224"	"JB021108_12.1_92bp"	25096	"JinhaeBay08"	"Korea"
"267"	"JB121807_01_92bp"	25096	"JinhaeBay07"	"Korea"
"671"	"YS_121316_22_92bp"	25096	"YellowSea16"	"Korea"
"657"	"YS121315_16_92bp"	25097	"YellowSea16"	"Korea"
"653"	"YS121315_12_92bp"	25101	"YellowSea16"	"Korea"
"57"	"BOR07_08.1_92bp"	25102	"Boryeong07"	"Korea"
"664"	"YS_121316_17_92bp"	25103	"YellowSea16"	"Korea"
"145"	"GEO020414_9_92bp"	25106	"Geoje14"	"Korea"
"423"	"NA021015_30_92bp"	25106	"Namhae15"	"Korea"
"49"	"BOR07_01_2_92bp"	25107	"Boryeong07"	"Korea"
"51"	"BOR07_02.1_92bp"	25107	"Boryeong07"	"Korea"
"276"	"JB121807_08_rep_92bp"	25110	"JinhaeBay07"	"Korea"
"313"	"JB121807_43_92bp"	25110	"JinhaeBay07"	"Korea"
"310"	"JB121807_39_92bp"	25111	"JinhaeBay07"	"Korea"
"104"	"GE012315_20.1_92bp"	25112	"Geoje15"	"Korea"
"66"	"BOR07_17.1_92bp"	25116	"Boryeong07"	"Korea"
"76"	"GE011215_09.1_92bp"	25116	"Geoje15"	"Korea"
"659"	"YS_121316_03_92bp"	25116	"YellowSea16"	"Korea"
"130"	"GEO020414_25_92bp"	25117	"Geoje14"	"Korea"
"63"	"BOR07_14_92bp"	25119	"Boryeong07"	"Korea"
"53"	"BOR07_04_92bp"	25122	"Boryeong07"	"Korea"
"73"	"GE011215_01.1_92bp"	25122	"Geoje15"	"Korea"
"275"	"JB121807_08_92bp"	25122	"JinhaeBay07"	"Korea"
"420"	"NA021015_23_92bp"	25122	"Namhae15"	"Korea"
"65"	"BOR07_16_92bp"	25123	"Boryeong07"	"Korea"
"69"	"BOR07_20.1_92bp"	25127	"Boryeong07"	"Korea"
"229"	"JB021108_17.1_92bp"	25127	"JinhaeBay08"	"Korea"
"72"	"BOR07_22_92bp"	25128	"Boryeong07"	"Korea"
"243"	"JB021108_30_92bp"	25129	"JinhaeBay08"	"Korea"
"265"	"JB021108_47.1_92bp"	25129	"JinhaeBay08"	"Korea"
"100"	"GE012315_10.1_92bp"	25131	"Geoje15"	"Korea"
"264"	"JB021108_46_rep.1_92bp"	25131	"JinhaeBay08"	"Korea"
"321"	"JUK07_02.1_92bp"	25131	"Jukbyeon07"	"Korea"
"452"	"PO031715_03_92bp"	25131	"Pohang15"	"Korea"
"61"	"BOR07_12.1_92bp"	25132	"Boryeong07"	"Korea"
"407"	"NA021015_06.1_92bp"	25133	"Namhae15"	"Korea"
"673"	"YS_121316_24_92bp"	25133	"YellowSea16"	"Korea"
"54"	"BOR07_05.1_92bp"	25134	"Boryeong07"	"Korea"
"457"	"PO031715_24_92bp"	25134	"Pohang15"	"Korea"
"453"	"PO031715_04_92bp"	25135	"Pohang15"	"Korea"
"110"	"GEO020414_10_2_92bp"	25137	"Geoje14"	"Korea"
"262"	"JB021108_45_92bp"	25139	"JinhaeBay08"	"Korea"
"426"	"PO010715_04_92bp"	25139	"Pohang15"	"Korea"
"114"	"GEO020414_13_2_92bp"	25140	"Geoje14"	"Korea"
"142"	"GEO020414_8_300_92bp"	25140	"Geoje14"	"Korea"
"326"	"JUK07_06_2_92bp"	25140	"Jukbyeon07"	"Korea"
"122"	"GEO020414_16_92bp"	25141	"Geoje14"	"Korea"
"141"	"GEO020414_7_92bp"	25144	"Geoje14"	"Korea"
"658"	"YS_121316_01_92bp"	25144	"YellowSea16"	"Korea"
"412"	"NA021015_10.1_92bp"	25145	"Namhae15"	"Korea"
"79"	"GE011215_11_rep_92bp"	25146	"Geoje15"	"Korea"
"56"	"BOR07_07.1_92bp"	25147	"Boryeong07"	"Korea"
"433"	"PO010715_12_92bp"	25150	"Pohang15"	"Korea"
"679"	"YS121316_30_92bp"	25150	"YellowSea16"	"Korea"
"55"	"BOR07_06.1_92bp"	25152	"Boryeong07"	"Korea"
"118"	"GEO020414_14_92bp"	25152	"Geoje14"	"Korea"
"263"	"JB021108_46.1_92bp"	25154	"JinhaeBay08"	"Korea"
"325"	"JUK07_06.1_92bp"	25154	"Jukbyeon07"	"Korea"
"83"	"GE011215_18_92bp"	25155	"Geoje15"	"Korea"
"271"	"JB121807_05_2_92bp"	25155	"JinhaeBay07"	"Korea"
"662"	"YS_121316_07_92bp"	25155	"YellowSea16"	"Korea"
"246"	"JB021108_32_92bp"	25156	"JinhaeBay08"	"Korea"
"60"	"BOR07_11.1_92bp"	25157	"Boryeong07"	"Korea"
"62"	"BOR07_13.1_92bp"	25158	"Boryeong07"	"Korea"
"78"	"GE011215_11_92bp"	25160	"Geoje15"	"Korea"
"143"	"GEO020414_8_92bp"	25160	"Geoje14"	"Korea"
"84"	"GE011215_19_92bp"	25161	"Geoje15"	"Korea"
"661"	"YS_121316_05_92bp"	25167	"YellowSea16"	"Korea"
"351"	"JUK07_31_92bp"	25168	"Jukbyeon07"	"Korea"
"279"	"JB121807_11.1_92bp"	25169	"JinhaeBay07"	"Korea"
"214"	"JB021108_05_92bp"	25170	"JinhaeBay08"	"Korea"
"454"	"PO031715_13.1_92bp"	25171	"Pohang15"	"Korea"
"672"	"YS_121316_23_92bp"	25171	"YellowSea16"	"Korea"
"112"	"GEO020414_11_300_92bp"	25176	"Geoje14"	"Korea"
"127"	"GEO020414_24_300_92bp"	25177	"Geoje14"	"Korea"
"663"	"YS_121316_13_92bp"	25179	"YellowSea16"	"Korea"
"215"	"JB021108_05_rep_92bp"	25180	"JinhaeBay08"	"Korea"
"64"	"BOR07_15_92bp"	25183	"Boryeong07"	"Korea"
"87"	"GE011215_22_92bp"	25184	"Geoje15"	"Korea"
"421"	"NA021015_25_92bp"	25184	"Namhae15"	"Korea"
"125"	"GEO020414_23_300_92bp"	25188	"Geoje14"	"Korea"
"444"	"PO020515_06_92bp"	25192	"Pohang15"	"Korea"
"670"	"YS_121316_21_92bp"	25198	"YellowSea16"	"Korea"
"124"	"GEO020414_17_92bp"	25200	"Geoje14"	"Korea"
"669"	"YS_121316_21_2_92bp"	25200	"YellowSea16"	"Korea"
"89"	"GE011215_28_92bp"	25210	"Geoje15"	"Korea"
"422"	"NA021015_26_92bp"	25210	"Namhae15"	"Korea"
"410"	"NA021015_09.1_92bp"	25231	"Namhae15"	"Korea"
"436"	"PO010715_26_2_92bp"	25240	"Pohang15"	"Korea"
"126"	"GEO020414_23_92bp"	25242	"Geoje14"	"Korea"
"113"	"GEO020414_11_92bp"	25245	"Geoje14"	"Korea"
"428"	"PO010715_07_92bp"	25250	"Pohang15"	"Korea"
"107"	"GEO012315_12_92bp"	25257	"Geoje15"	"Korea"
"654"	"YS121315_14.1_92bp"	25260	"YellowSea16"	"Korea"
"128"	"GEO020414_24_92bp"	25273	"Geoje14"	"Korea"
"429"	"PO010715_07_rep_92bp"	25276	"Pohang15"	"Korea"
"668"	"YS_121316_20_2_92bp"	25280	"YellowSea16"	"Korea"
"425"	"PO010715_02_rep_92bp"	25302	"Pohang15"	"Korea"
"91"	"GE011215_30.1_92bp"	25308	"Geoje15"	"Korea"
"228"	"JB021108_16_92bp"	25310	"JinhaeBay08"	"Korea"
"424"	"PO010715_02_92bp"	25310	"Pohang15"	"Korea"
"439"	"PO010715_28.1_92bp"	25311	"Pohang15"	"Korea"
"101"	"GE012315_11.1_92bp"	25321	"Geoje15"	"Korea"
"98"	"GE012315_09.1_92bp"	25322	"Geoje15"	"Korea"
"413"	"NA021015_10_2_92bp"	25325	"Namhae15"	"Korea"
"667"	"YS_121316_20.1_92bp"	25326	"YellowSea16"	"Korea"
"59"	"BOR07_10.1_92bp"	25346	"Boryeong07"	"Korea"
"437"	"PO010715_26_92bp"	25396	"Pohang15"	"Korea"
"655"	"YS121315_14_2_92bp"	25401	"YellowSea16"	"Korea"
"408"	"NA021015_06_2_92bp"	25436	"Namhae15"	"Korea"
"411"	"NA021015_09_2_92bp"	25546	"Namhae15"	"Korea"
"102"	"GE012315_11_2_92bp"	25557	"Geoje15"	"Korea"
"99"	"GE012315_09_2_92bp"	25578	"Geoje15"	"Korea"
