"sample"	"n_loci"	"population"	"group"
"19"	"AD06_019"	21968	"Adak06"	"Alaska"
"70"	"BOR07_21.1_92bp"	21982	"Boryeong07"	"Korea"
"280"	"JB121807_12.1_92bp"	21996	"JinhaeBay07"	"Korea"
"487"	"PS12_030"	21997	"JuandeFuca12"	"Alaska"
"9"	"AD06_009"	22003	"Adak06"	"Alaska"
"50"	"BOR07_01_92bp"	22021	"Boryeong07"	"Korea"
"386"	"KOD03_079"	22024	"Kodiak03"	"Alaska"
"466"	"PS12_009"	22026	"SalishSea12_13"	"Alaska"
"379"	"KOD03_072"	22032	"Kodiak03"	"Alaska"
"181"	"HS04_019"	22073	"HecStrait04"	"Alaska"
"622"	"WC05_021"	22082	"WashCoast05"	"Alaska"
"517"	"PWS12_012"	22097	"PWSound12"	"Alaska"
"580"	"UP03_027"	22114	"UnimakPass03"	"Alaska"
"645"	"WC05_044"	22124	"WashCoast05"	"Alaska"
"538"	"PWS12_064"	22141	"PWSound12"	"Alaska"
"470"	"PS12_013"	22160	"SalishSea12_13"	"Alaska"
"198"	"HS04_036"	22169	"HecStrait04"	"Alaska"
"382"	"KOD03_075"	22175	"Kodiak03"	"Alaska"
"555"	"UP03_002"	22216	"UnimakPass03"	"Alaska"
"402"	"KOD03_095"	22236	"Kodiak03"	"Alaska"
"502"	"PS12_045"	22256	"JuandeFuca12"	"Alaska"
"512"	"PWS12_007"	22277	"PWSound12"	"Alaska"
"158"	"GS13_013"	22325	"SalishSea12_13"	"Alaska"
"42"	"AD06_042"	22404	"Adak06"	"Alaska"
"190"	"HS04_028"	22408	"HecStrait04"	"Alaska"
"551"	"PWS12_132"	22441	"PWSound12"	"Alaska"
"13"	"AD06_013"	22444	"Adak06"	"Alaska"
"573"	"UP03_020"	22458	"UnimakPass03"	"Alaska"
"491"	"PS12_034"	22459	"JuandeFuca12"	"Alaska"
"196"	"HS04_034"	22467	"HecStrait04"	"Alaska"
"317"	"JB121807_47_2_92bp"	22468	"JinhaeBay07"	"Korea"
"148"	"GS13_003"	22474	"SalishSea12_13"	"Alaska"
"595"	"UP03_042"	22479	"UnimakPass03"	"Alaska"
"207"	"HS04_045"	22550	"HecStrait04"	"Alaska"
"345"	"JUK07_25_92bp"	22584	"Jukbyeon07"	"Korea"
"483"	"PS12_026"	22631	"JuandeFuca12"	"Alaska"
