sample	n_loci	population	group
GEO020414_30_92bp	23286	Geoje14	Korea
GEO020414_3_92bp	24957	Geoje14	Korea
GEO020414_4_92bp	25047	Geoje14	Korea
GEO020414_5_92bp	24964	Geoje14	Korea
GEO020414_6_92bp	24511	Geoje14	Korea
GEO020414_7_92bp	25144	Geoje14	Korea
GEO020414_8_300_92bp	25140	Geoje14	Korea
GEO020414_8_92bp	25160	Geoje14	Korea
GEO020414_9_300_92bp	24949	Geoje14	Korea
GEO020414_9_92bp	25106	Geoje14	Korea
GS13_001	23625	SalishSea12_13	Alaska
GS13_002	19769	SalishSea12_13	Alaska
GS13_003	22474	SalishSea12_13	Alaska
GS13_004	20175	SalishSea12_13	Alaska
GS13_005	23355	SalishSea12_13	Alaska
GS13_006	23406	SalishSea12_13	Alaska
GS13_007	21090	SalishSea12_13	Alaska
GS13_008	23328	SalishSea12_13	Alaska
GS13_009	18761	SalishSea12_13	Alaska
GS13_010	20138	SalishSea12_13	Alaska
GS13_011	23311	SalishSea12_13	Alaska
GS13_012	23708	SalishSea12_13	Alaska
GS13_013	22325	SalishSea12_13	Alaska
GS13_014	22641	SalishSea12_13	Alaska
GS13_015	21200	SalishSea12_13	Alaska
GS13_016	23345	SalishSea12_13	Alaska
GS13_017	23242	SalishSea12_13	Alaska
HS04_001	23503	HecStrait04	Alaska
HS04_002	22986	HecStrait04	Alaska
HS04_003	23476	HecStrait04	Alaska
HS04_004	21891	HecStrait04	Alaska
HS04_005	23602	HecStrait04	Alaska
HS04_006	23914	HecStrait04	Alaska
HS04_007	23019	HecStrait04	Alaska
HS04_008	24096	HecStrait04	Alaska
HS04_009	23035	HecStrait04	Alaska
HS04_010	19907	HecStrait04	Alaska
HS04_011	18782	HecStrait04	Alaska
HS04_012	23779	HecStrait04	Alaska
HS04_013	20933	HecStrait04	Alaska
HS04_014	23713	HecStrait04	Alaska
HS04_015	24132	HecStrait04	Alaska
HS04_016	23833	HecStrait04	Alaska
HS04_017	24003	HecStrait04	Alaska
HS04_018	23850	HecStrait04	Alaska
HS04_019	22073	HecStrait04	Alaska
HS04_020	23486	HecStrait04	Alaska
HS04_021	22652	HecStrait04	Alaska
HS04_022	23670	HecStrait04	Alaska
