sample	n_loci	population	group
GEO012315_18_92bp	24369	Geoje15	Korea
JB021108_40_92bp	8842	JinhaeBay08	Korea
PO010715_10.1_92bp	24387	Pohang15	Korea
HS04_043	8217	HecStrait04	Alaska
JB121807_35_92bp	8389	JinhaeBay07	Korea
GE011215_14.1_92bp	24414	Geoje15	Korea
JUK07_30_92bp	24544	Jukbyeon07	Korea
GE012315_20.1_92bp	24374	Geoje15	Korea
GE011215_19_92bp	24702	Geoje15	Korea
GE012315_22.1_92bp	23356	Geoje15	Korea
JB021108_27_c_92bp	1968	JinhaeBay08	Korea
PWS12_041	22034	PWSound12	Alaska
PS12_032	23023	JuandeFuca12	Alaska
UP03_031	1956	UnimakPass03	Alaska
JUK07_01_92bp	22823	Jukbyeon07	Korea
JB121807_38.1_92bp	22548	JinhaeBay07	Korea
JUK07_31_92bp	24593	Jukbyeon07	Korea
GEO020414_24_300_92bp	24415	Geoje14	Korea
PS12_047	22464	JuandeFuca12	Alaska
PO010715_12_92bp	24625	Pohang15	Korea
PO031715_13.1_92bp	24335	Pohang15	Korea
JUK07_26_92bp	24096	Jukbyeon07	Korea
GS13_006	22618	SalishSea12_13	Alaska
AD06_048	22739	Adak06	Alaska
JB121807_08_rep_92bp	24185	JinhaeBay07	Korea
YS_121316_21_92bp	24729	YellowSea16	Korea
PS12_041	21324	JuandeFuca12	Alaska
UP03_039	6885	UnimakPass03	Alaska
UP03_045	21976	UnimakPass03	Alaska
WC05_048	18897	WashCoast05	Alaska
UP03_044	23200	UnimakPass03	Alaska
WC05_046	11899	WashCoast05	Alaska
WC05_047	19817	WashCoast05	Alaska
WC05_044	17786	WashCoast05	Alaska
WC05_045	10172	WashCoast05	Alaska
WC05_042	9620	WashCoast05	Alaska
JB121807_19.1_92bp	23895	JinhaeBay07	Korea
JB121807_32.1_92bp	22627	JinhaeBay07	Korea
WC05_041	21009	WashCoast05	Alaska
UP03_046	22520	UnimakPass03	Alaska
GEO020414_25_300_92bp	21688	Geoje14	Korea
PWS12_134	20738	PWSound12	Alaska
PWS12_133	15667	PWSound12	Alaska
PWS12_132	18483	PWSound12	Alaska
PWS12_131	22127	PWSound12	Alaska
UP03_040	22333	UnimakPass03	Alaska
UP03_043	19941	UnimakPass03	Alaska
BOR07_09_92bp	24597	Boryeong07	Korea
UP03_042	17189	UnimakPass03	Alaska
HS04_033	22421	HecStrait04	Alaska
HS04_032	23147	HecStrait04	Alaska
HS04_031	19955	HecStrait04	Alaska
HS04_030	13722	HecStrait04	Alaska
HS04_037	21892	HecStrait04	Alaska
HS04_036	15130	HecStrait04	Alaska
HS04_035	22183	HecStrait04	Alaska
HS04_034	18183	HecStrait04	Alaska
HS04_039	8036	HecStrait04	Alaska
HS04_038	9826	HecStrait04	Alaska
GEO012315_21_92bp	24409	Geoje15	Korea
BOR07_08.1_92bp	24612	Boryeong07	Korea
GEO020414_10_92bp	20099	Geoje14	Korea
PS12_029	22804	JuandeFuca12	Alaska
PS12_028	19068	JuandeFuca12	Alaska
PS12_021	19741	SalishSea12_13	Alaska
JB021108_39_92bp	21269	JinhaeBay08	Korea
PS12_023	12197	SalishSea12_13	Alaska
PS12_022	23089	SalishSea12_13	Alaska
PS12_025	22712	SalishSea12_13	Alaska
PS12_024	22479	SalishSea12_13	Alaska
JB021108_31.1_92bp	10713	JinhaeBay08	Korea
GE011215_22_92bp	24771	Geoje15	Korea
AD06_014	9710	Adak06	Alaska
GE011215_24.1_92bp	24192	Geoje15	Korea
YS_121316_01_92bp	24726	YellowSea16	Korea
KOD03_058	20483	Kodiak03	Alaska
KOD03_059	14746	Kodiak03	Alaska
KOD03_056	18965	Kodiak03	Alaska
KOD03_057	23400	Kodiak03	Alaska
KOD03_054	21872	Kodiak03	Alaska
KOD03_055	22930	Kodiak03	Alaska
KOD03_052	22627	Kodiak03	Alaska
KOD03_053	12669	Kodiak03	Alaska
KOD03_051	19391	Kodiak03	Alaska
GEO020414_14_300_92bp	23439	Geoje14	Korea
NA021015_22.1_92bp	24164	Namhae15	Korea
NA021015_03.1_92bp	23352	Namhae15	Korea
JB121807_48.1_92bp	16669	JinhaeBay07	Korea
PWS12_003	20311	PWSound12	Alaska
PWS12_002	23409	PWSound12	Alaska
PWS12_001	23056	PWSound12	Alaska
PWS12_007	17478	PWSound12	Alaska
PWS12_006	22901	PWSound12	Alaska
PWS12_005	23143	PWSound12	Alaska
PWS12_004	21725	PWSound12	Alaska
PO010715_27.1_92bp	23925	Pohang15	Korea
PWS12_008	22885	PWSound12	Alaska
