sample	n_loci	population	group
AD06_002	12248	Adak06	Alaska
AD06_003	22443	Adak06	Alaska
PS12_003	22889	SalishSea12_13	Alaska
NA021015_10.1_92bp	24585	Namhae15	Korea
AD06_008	23164	Adak06	Alaska
AD06_009	19815	Adak06	Alaska
HS04_017	23566	HecStrait04	Alaska
JB021108_28_2_92bp	21477	JinhaeBay08	Korea
JB021108_06_92bp	24558	JinhaeBay08	Korea
YS_121316_04_92bp	23717	YellowSea16	Korea
