per locus comparison. all values as proportions
locus_ID	n_pairs	both_miss	b1_miss	b2_miss	both_genotyped	matched	diff_homhom	diff_homhet	diff_hethom
10250	50	0.0	0.0	0.0	1.0	0.0	0.0	0.68	0.32
10255	50	0.0	0.02	0.0	0.98	0.0	0.0	0.979591836735	0.0204081632653
10257	50	0.0	0.08	0.0	0.92	0.0	0.0	0.565217391304	0.434782608696
10260	50	0.0	0.98	0.0	0.02	0.0	0.0	1.0	0.0
10261	50	0.0	0.34	0.0	0.66	0.0	0.0	0.909090909091	0.0909090909091
10271	50	0.0	0.14	0.0	0.86	0.0	0.0	0.837209302326	0.162790697674
10278	50	0.0	0.02	0.0	0.98	0.0	0.0	0.530612244898	0.469387755102
10281	50	0.0	0.02	0.0	0.98	0.0	0.0	0.734693877551	0.265306122449
10283	50	0.0	0.02	0.0	0.98	0.0	0.0	0.959183673469	0.0408163265306
10285	50	0.0	0.02	0.0	0.98	0.0	0.0	0.959183673469	0.0408163265306
10294	50	0.0	0.98	0.0	0.02	0.0	0.0	1.0	0.0
10296	50	0.0	0.02	0.0	0.98	0.0	0.0	0.979591836735	0.0204081632653
10303	50	0.0	0.0	0.0	1.0	0.0	0.0	0.8	0.2
10307	50	0.0	0.04	0.0	0.96	0.0	0.0	1.0	0.0
10309	50	0.0	0.0	0.0	1.0	0.0	0.0	0.06	0.94
10312	50	0.0	0.0	0.0	1.0	0.0	0.0	0.54	0.46
10314	50	0.0	0.0	0.0	1.0	0.0	0.0	0.58	0.42
10315	50	0.0	0.22	0.0	0.78	0.0	0.0	0.794871794872	0.205128205128
10319	50	0.0	0.02	0.0	0.98	0.0	0.0	0.877551020408	0.122448979592
10320	50	0.0	0.02	0.0	0.98	0.0	0.0	0.367346938776	0.632653061224
10322	50	0.0	0.0	0.0	1.0	0.0	0.0	0.4	0.6
10326	50	0.0	0.0	0.0	1.0	0.0	0.0	0.88	0.12
10332	50	0.0	0.28	0.0	0.72	0.0	0.0	1.0	0.0
10333	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10335	50	0.0	0.98	0.0	0.02	0.0	0.0	1.0	0.0
10341	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10342	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10344	50	0.0	0.08	0.0	0.92	0.0	0.0	0.565217391304	0.434782608696
10353	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10354	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10355	50	0.0	0.0	0.0	1.0	0.0	0.0	0.96	0.04
10360	50	0.0	0.24	0.0	0.76	0.0	0.0	0.868421052632	0.131578947368
10364	50	0.0	0.08	0.0	0.92	0.0	0.0	0.760869565217	0.239130434783
10366	50	0.0	0.04	0.0	0.96	0.0	0.0	0.958333333333	0.0416666666667
10368	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
10369	50	0.0	0.86	0.0	0.14	0.0	0.0	1.0	0.0
1037	50	0.0	0.32	0.0	0.68	0.0	0.0	0.970588235294	0.0294117647059
10372	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10376	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10377	50	0.0	0.06	0.0	0.94	0.0	0.0	0.489361702128	0.510638297872
10381	50	0.0	0.0	0.0	1.0	0.0	0.0	0.8	0.2
10382	50	0.0	0.02	0.0	0.98	0.0	0.0	1.0	0.0
10388	50	0.0	0.02	0.0	0.98	0.0	0.0	1.0	0.0
1039	50	0.0	0.0	0.0	1.0	0.0	0.0	0.76	0.24
10390	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10391	50	0.0	0.6	0.0	0.4	0.0	0.0	1.0	0.0
