locus_ID	n_pairs	both_miss	b1_miss	b2_miss	both_genotyped	matched	diff_homhom	diff_homhet	diff_hethom
3828	50	0.02	0.0	0.0	0.98	1.0	0.0	0.0	0.0
3831	50	0.16	0.08	0.02	0.74	1.0	0.0	0.0	0.0
3834	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
3836	50	0.2	0.18	0.0	0.62	1.0	0.0	0.0	0.0
3838	50	0.04	0.0	0.02	0.94	1.0	0.0	0.0	0.0
3840	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
3842	50	0.56	0.32	0.04	0.08	1.0	0.0	0.0	0.0
3843	50	0.2	0.08	0.02	0.7	0.971428571429	0.0285714285714	0.0	0.0
3846	50	0.04	0.0	0.06	0.9	1.0	0.0	0.0	0.0
3847	50	0.08	0.12	0.04	0.76	0.973684210526	0.0	0.0263157894737	0.0
3849	50	0.02	0.0	0.06	0.92	1.0	0.0	0.0	0.0
3851	50	0.16	0.14	0.04	0.66	0.939393939394	0.030303030303	0.0	0.030303030303
3852	50	0.12	0.14	0.02	0.72	1.0	0.0	0.0	0.0
3855	50	0.02	0.0	0.0	0.98	0.959183673469	0.0204081632653	0.0204081632653	0.0
3860	50	0.22	0.24	0.06	0.48	1.0	0.0	0.0	0.0
3863	50	0.02	0.0	0.1	0.88	1.0	0.0	0.0	0.0
3866	50	0.22	0.16	0.1	0.52	1.0	0.0	0.0	0.0
3868	50	0.0	0.02	0.06	0.92	1.0	0.0	0.0	0.0
3872	50	0.06	0.08	0.02	0.84	1.0	0.0	0.0	0.0
3880	50	0.04	0.0	0.02	0.94	0.978723404255	0.0	0.0	0.0212765957447
3882	50	0.02	0.0	0.06	0.92	1.0	0.0	0.0	0.0
3883	50	0.16	0.12	0.0	0.72	1.0	0.0	0.0	0.0
3886	50	0.02	0.0	0.04	0.94	0.978723404255	0.0	0.0212765957447	0.0
3891	50	0.1	0.18	0.02	0.7	0.971428571429	0.0	0.0	0.0285714285714
3893	50	0.08	0.22	0.0	0.7	0.971428571429	0.0	0.0285714285714	0.0
3894	50	0.0	0.0	0.08	0.92	1.0	0.0	0.0	0.0
3897	50	0.16	0.22	0.12	0.5	1.0	0.0	0.0	0.0
3898	50	0.08	0.1	0.04	0.78	1.0	0.0	0.0	0.0
3899	50	0.4	0.4	0.0	0.2	1.0	0.0	0.0	0.0
3900	50	0.1	0.12	0.02	0.76	1.0	0.0	0.0	0.0
3902	50	0.02	0.0	0.06	0.92	0.978260869565	0.0	0.0	0.0217391304348
3903	50	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
3906	50	0.02	0.02	0.04	0.92	0.978260869565	0.0217391304348	0.0	0.0
3907	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
3912	50	0.02	0.0	0.12	0.86	1.0	0.0	0.0	0.0
3913	50	0.08	0.18	0.0	0.74	0.972972972973	0.0	0.0	0.027027027027
