LIST OF LOGLIKELIHOODS

This output shows the Ln(Likelihood) for each of the four following
relationships:

U  = Unrelated
HS = Half Sibs
FS = Full Sibs
PO = Parent / Offspring

Interpretation

R                     This column lists the relationship with the highest likelihood.
LnL(R)                This column lists the log likelihood of R
Delta Ln(L)           These columns list how much lower the log likelihoods are for
                          the other relationships. For example, if there is a 2.1
                          the FS column, it means that the loglikelihood of the
                          individuals being full sibs is 2.1 less than the
                          loglikelihood of the relationship with the highest
                          likelihood.

Note:                 A Delta Ln(L) of '9999' indicates that the relationship
                           is not possible.


						Delta Ln(L)
Ind1	Ind2	R	LnL(R)		U	HS	FS	PO
PS12_011	PS12_007	U	-2643.13		-	26.67	171.09	9999
PS12_011	PS12_008	U	-2786.67		-	46.89	219.58	9999
PS12_011	PS12_009	U	-2623.14		-	14.34	143.46	9999
PS12_011	PS12_010	HS	-2293.04		19.41	-	92.39	9999
PS12_012	GS13_001	U	-3405.10		-	24.11	200.71	9999
PS12_012	GS13_002	U	-2612.03		-	37.23	185.47	9999
PS12_012	GS13_003	U	-3146.79		-	24.99	191.44	9999
PS12_012	GS13_004	U	-2744.87		-	15.58	158.43	9999
PS12_012	GS13_005	U	-3381.36		-	6.81	181.76	9999
PS12_012	GS13_006	U	-3354.34		-	26.84	206.41	9999
PS12_012	GS13_007	U	-2914.72		-	46.03	217.16	9999
PS12_012	GS13_008	U	-3289.90		-	24.15	207.87	9999
PS12_012	GS13_009	U	-2596.45		-	33.41	179.92	9999
PS12_012	GS13_010	U	-2788.34		-	29.01	181.95	9999
PS12_012	GS13_011	U	-3232.15		-	9.87	166.39	9999
PS12_012	GS13_012	U	-3364.83		-	26.33	208.76	9999
PS12_012	GS13_013	U	-3199.91		-	30.68	214.59	9999
PS12_012	GS13_014	U	-3238.31		-	32.64	208.75	9999
PS12_012	GS13_015	U	-3037.73		-	19.78	180.29	9999
PS12_012	GS13_016	U	-3290.45		-	22.80	190.23	9999
PS12_012	GS13_017	HS	-3293.96		0.87	-	155.97	9999
PS12_012	PS12_001	U	-3160.76		-	6.28	160.33	9999
PS12_012	PS12_002	U	-2922.51		-	22.77	173.93	9999
PS12_012	PS12_003	U	-3283.96		-	36.91	219.43	9999
PS12_012	PS12_004	U	-2742.43		-	23.82	177.80	9999
PS12_012	PS12_005	U	-3160.17		-	32.68	206.37	9999
PS12_012	PS12_006	U	-3261.06		-	15.78	175.54	9999
PS12_012	PS12_007	HS	-3047.87		2.92	-	142.63	9999
PS12_012	PS12_008	U	-3291.75		-	1.52	158.51	9999
PS12_012	PS12_009	U	-3050.83		-	40.75	220.60	9999
PS12_012	PS12_010	U	-2688.23		-	22.46	174.97	9999
PS12_012	PS12_011	U	-2796.90		-	25.61	170.87	9999
PS12_013	GS13_001	U	-3213.02		-	32.57	214.63	9999
PS12_013	GS13_002	U	-2518.56		-	27.48	160.60	9999
PS12_013	GS13_003	U	-3024.33		-	23.37	188.25	9999
PS12_013	GS13_004	U	-2643.08		-	39.21	192.73	9999
PS12_013	GS13_005	U	-3188.76		-	42.68	235.46	9999
PS12_013	GS13_006	U	-3149.09		-	26.49	201.07	9999
PS12_013	GS13_007	U	-2775.96		-	17.78	173.85	9999
PS12_013	GS13_008	U	-3109.85		-	27.66	204.97	9999
PS12_013	GS13_009	U	-2504.28		-	12.13	141.04	9999
PS12_013	GS13_010	U	-2716.45		-	21.81	160.77	9999
PS12_013	GS13_011	U	-3060.70		-	31.30	198.16	9999
PS12_013	GS13_012	U	-3197.66		-	15.25	187.53	9999
PS12_013	GS13_013	U	-3069.39		-	47.95	237.08	9999
PS12_013	GS13_014	U	-3035.82		-	13.46	165.27	9999
PS12_013	GS13_015	U	-2949.54		-	29.24	188.13	9999
PS12_013	GS13_016	U	-3109.53		-	37.79	216.14	9999
PS12_013	GS13_017	U	-3124.70		-	30.80	204.76	9999
PS12_013	PS12_001	U	-3005.67		-	23.42	180.88	9999
PS12_013	PS12_002	U	-2813.73		-	40.61	207.31	9999
PS12_013	PS12_003	U	-3087.36		-	17.69	179.28	9999
PS12_013	PS12_004	U	-2637.55		-	49.22	212.65	9999
PS12_013	PS12_005	U	-3005.98		-	47.81	218.90	9999
PS12_013	PS12_006	U	-3064.47		-	25.82	197.54	9999
PS12_013	PS12_007	U	-2914.37		-	18.79	159.28	9999
PS12_013	PS12_008	U	-3127.97		-	1.08	145.76	9999
PS12_013	PS12_009	U	-2923.52		-	23.58	177.38	9999
PS12_013	PS12_010	U	-2596.89		-	16.09	146.40	9999
PS12_013	PS12_011	U	-2679.56		-	17.77	168.35	9999
PS12_013	PS12_012	U	-3069.21		-	17.15	166.29	9999
PS12_016	GS13_001	U	-3480.79		-	44.74	244.96	9999
PS12_016	GS13_002	U	-2670.04		-	40.87	192.44	9999
PS12_016	GS13_003	U	-3201.76		-	33.17	205.53	9999
PS12_016	GS13_004	U	-2781.14		-	37.38	208.73	9999
PS12_016	GS13_005	U	-3459.02		-	24.64	213.21	9999
PS12_016	GS13_006	U	-3416.64		-	42.31	230.62	9999
PS12_016	GS13_007	U	-2971.39		-	35.52	214.83	9999
PS12_016	GS13_008	U	-3355.78		-	40.98	238.28	9999
PS12_016	GS13_009	U	-2673.96		-	57.62	232.32	9999
PS12_016	GS13_010	U	-2861.59		-	43.49	220.06	9999
PS12_016	GS13_011	U	-3304.24		-	28.20	206.50	9999
PS12_016	GS13_012	U	-3443.41		-	54.14	255.56	9999
PS12_016	GS13_013	U	-3270.42		-	25.62	205.19	9999
PS12_016	GS13_014	U	-3262.99		-	6.76	161.42	9999
PS12_016	GS13_015	U	-3106.49		-	35.20	204.39	9999
PS12_016	GS13_016	U	-3356.89		-	46.87	247.51	9999
PS12_016	GS13_017	U	-3365.48		-	43.77	234.21	9999
PS12_016	PS12_001	U	-3231.58		-	24.80	184.17	9999
PS12_016	PS12_002	U	-2989.64		-	24.55	181.68	9999
PS12_016	PS12_003	U	-3355.27		-	40.61	241.80	9999
PS12_016	PS12_004	U	-2816.88		-	52.36	224.78	9999
PS12_016	PS12_005	U	-3241.49		-	44.14	218.03	9999
PS12_016	PS12_006	U	-3332.96		-	28.47	209.11	9999
PS12_016	PS12_007	U	-3092.96		-	21.33	188.17	9999
PS12_016	PS12_008	U	-3365.97		-	25.97	219.59	9999
PS12_016	PS12_009	U	-3130.00		-	25.64	189.24	9999
PS12_016	PS12_010	HS	-2725.20		10.95	-	117.56	9999
PS12_016	PS12_011	U	-2850.81		-	50.37	223.56	9999
PS12_016	PS12_012	U	-3338.40		-	41.36	227.99	9999
PS12_016	PS12_013	U	-3152.05		-	33.83	215.33	9999
PS12_017	GS13_001	U	-3478.65		-	43.46	241.85	9999
PS12_017	GS13_002	U	-2673.42		-	39.16	188.56	9999
PS12_017	GS13_003	U	-3205.06		-	33.12	206.75	9999
PS12_017	GS13_004	U	-2780.67		-	37.30	208.63	9999
PS12_017	GS13_005	U	-3456.70		-	24.26	212.25	9999
PS12_017	GS13_006	U	-3416.17		-	41.43	229.74	9999
PS12_017	GS13_007	U	-2975.87		-	35.35	214.61	9999
PS12_017	GS13_008	U	-3354.74		-	40.80	238.19	9999
PS12_017	GS13_009	U	-2680.82		-	57.28	232.03	9999
PS12_017	GS13_010	U	-2860.19		-	43.28	219.47	9999
PS12_017	GS13_011	U	-3300.40		-	26.32	202.84	9999
PS12_017	GS13_012	U	-3441.01		-	52.34	252.52	9999
PS12_017	GS13_013	U	-3271.25		-	26.04	205.36	9999
PS12_017	GS13_014	U	-3264.71		-	6.25	161.45	9999
PS12_017	GS13_015	U	-3109.64		-	35.05	204.40	9999
PS12_017	GS13_016	U	-3361.66		-	47.49	248.74	9999
PS12_017	GS13_017	U	-3359.51		-	43.87	233.97	9999
PS12_017	PS12_001	U	-3235.83		-	24.40	183.58	9999
PS12_017	PS12_002	U	-2985.53		-	24.16	181.49	9999
PS12_017	PS12_003	U	-3350.85		-	39.65	240.70	9999
PS12_017	PS12_004	U	-2809.04		-	52.26	223.97	9999
PS12_017	PS12_005	U	-3238.10		-	45.09	220.52	9999
PS12_017	PS12_006	U	-3332.12		-	28.35	208.10	9999
PS12_017	PS12_007	U	-3097.87		-	23.25	191.41	9999
PS12_017	PS12_008	U	-3365.16		-	26.19	220.35	9999
PS12_017	PS12_009	U	-3136.87		-	22.65	184.20	9999
PS12_017	PS12_010	HS	-2728.50		10.33	-	118.88	9999
PS12_017	PS12_011	U	-2852.48		-	51.10	224.61	9999
PS12_017	PS12_012	U	-3337.59		-	42.07	229.05	9999
PS12_017	PS12_013	U	-3150.72		-	33.51	214.72	9999
PS12_017	PS12_016	FS	-2397.89		1008.71	465.76	-	146.86
PS12_018	GS13_001	U	-3332.45		-	5.38	170.68	9999
PS12_018	GS13_002	U	-2561.91		-	50.45	209.61	9999
PS12_018	GS13_003	U	-3078.28		-	23.07	186.34	9999
PS12_018	GS13_004	U	-2678.15		-	14.95	147.29	9999
PS12_018	GS13_005	U	-3311.68		-	16.95	182.41	9999
PS12_018	GS13_006	U	-3281.19		-	30.47	212.10	9999
PS12_018	GS13_007	U	-2851.77		-	50.38	222.16	9999
PS12_018	GS13_008	U	-3199.71		-	5.89	161.38	9999
PS12_018	GS13_009	U	-2548.30		-	24.87	160.26	9999
PS12_018	GS13_010	U	-2763.68		-	29.35	186.67	9999
PS12_018	GS13_011	U	-3159.39		-	22.44	175.17	9999
PS12_018	GS13_012	U	-3291.81		-	36.26	211.52	9999
PS12_018	GS13_013	U	-3141.92		-	40.54	223.22	9999
PS12_018	GS13_014	U	-3146.11		-	7.29	163.34	9999
PS12_018	GS13_015	U	-2985.90		-	9.90	145.12	9999
PS12_018	GS13_016	U	-3224.61		-	30.37	198.94	9999
PS12_018	GS13_017	U	-3221.71		-	27.97	206.93	9999
PS12_018	PS12_001	U	-3100.45		-	36.56	211.05	9999
PS12_018	PS12_002	U	-2844.71		-	32.10	184.59	9999
PS12_018	PS12_003	U	-3206.42		-	14.63	168.44	9999
PS12_018	PS12_004	U	-2674.23		-	24.09	159.82	9999
PS12_018	PS12_005	U	-3092.42		-	21.80	180.41	9999
PS12_018	PS12_006	U	-3188.28		-	26.51	201.92	9999
PS12_018	PS12_007	U	-2977.89		-	33.56	205.62	9999
PS12_018	PS12_008	U	-3214.13		-	4.21	156.96	9999
PS12_018	PS12_009	U	-3008.21		-	21.31	163.40	9999
PS12_018	PS12_010	U	-2613.07		-	7.81	132.75	9999
PS12_018	PS12_011	U	-2700.72		-	35.24	186.01	9999
PS12_018	PS12_012	U	-3190.99		-	14.36	173.33	9999
PS12_018	PS12_013	U	-3027.44		-	33.24	196.46	9999
PS12_018	PS12_016	U	-3262.15		-	49.97	243.78	9999
PS12_018	PS12_017	U	-3261.25		-	50.04	243.56	9999
PS12_019	GS13_001	U	-3118.40		-	33.80	209.09	9999
PS12_019	GS13_002	U	-2463.46		-	19.80	156.75	9999
PS12_019	GS13_003	U	-2923.75		-	6.59	143.02	9999
PS12_019	GS13_004	U	-2622.66		-	23.97	169.35	9999
PS12_019	GS13_005	U	-3089.74		-	39.64	218.33	9999
PS12_019	GS13_006	U	-3061.95		-	5.13	147.26	9999
PS12_019	GS13_007	U	-2724.91		-	14.35	153.36	9999
PS12_019	GS13_008	U	-3009.76		-	15.86	167.95	9999
PS12_019	GS13_009	U	-2451.51		-	28.16	164.71	9999
PS12_019	GS13_010	U	-2681.88		-	33.67	171.97	9999
PS12_019	GS13_011	U	-2960.35		-	38.46	208.92	9999
PS12_019	GS13_012	U	-3088.00		-	21.93	185.22	9999
PS12_019	GS13_013	U	-2998.77		-	40.98	216.16	9999
PS12_019	GS13_014	U	-2974.10		-	39.05	217.96	9999
PS12_019	GS13_015	U	-2897.92		-	31.65	187.70	9999
PS12_019	GS13_016	U	-3006.25		-	38.73	213.61	9999
PS12_019	GS13_017	U	-3001.06		-	20.28	166.98	9999
PS12_019	PS12_001	U	-2943.43		-	39.68	210.68	9999
PS12_019	PS12_002	U	-2746.29		-	26.47	177.75	9999
PS12_019	PS12_003	U	-2992.30		-	37.30	201.28	9999
PS12_019	PS12_004	U	-2617.11		-	32.91	173.43	9999
PS12_019	PS12_005	U	-2911.09		-	39.74	201.06	9999
PS12_019	PS12_006	U	-2990.22		-	30.97	204.34	9999
PS12_019	PS12_007	U	-2840.34		-	14.59	163.69	9999
PS12_019	PS12_008	U	-3021.21		-	21.42	191.96	9999
PS12_019	PS12_009	U	-2898.97		-	9.72	158.11	9999
PS12_019	PS12_010	U	-2576.44		-	18.68	143.55	9999
PS12_019	PS12_011	HS	-2562.96		1.92	-	114.86	9999
PS12_019	PS12_012	HS	-2980.33		1.10	-	143.18	9999
PS12_019	PS12_013	U	-2880.07		-	22.50	188.98	9999
PS12_019	PS12_016	U	-3053.19		-	37.49	208.54	9999
PS12_019	PS12_017	U	-3055.64		-	38.15	210.54	9999
PS12_019	PS12_018	U	-2924.57		-	34.52	195.84	9999
PS12_020	GS13_001	U	-3427.18		-	24.30	200.65	9999
PS12_020	GS13_002	U	-2658.41		-	32.09	191.20	9999
PS12_020	GS13_003	U	-3176.55		-	39.28	209.26	9999
PS12_020	GS13_004	U	-2761.10		-	24.87	170.92	9999
PS12_020	GS13_005	U	-3403.74		-	18.55	185.36	9999
PS12_020	GS13_006	U	-3375.08		-	44.76	232.24	9999
PS12_020	GS13_007	U	-2925.21		-	31.68	202.84	9999
PS12_020	GS13_008	U	-3303.88		-	20.09	198.55	9999
PS12_020	GS13_009	U	-2612.46		-	20.81	167.70	9999
PS12_020	GS13_010	U	-2820.68		-	16.82	165.79	9999
PS12_020	GS13_011	U	-3242.28		-	4.78	157.07	9999
PS12_020	GS13_012	U	-3385.97		-	29.67	194.93	9999
PS12_020	GS13_013	U	-3236.69		-	23.33	203.58	9999
PS12_020	GS13_014	U	-3253.72		-	20.42	197.10	9999
PS12_020	GS13_015	U	-3047.82		-	25.19	187.78	9999
PS12_020	GS13_016	U	-3312.42		-	34.02	215.42	9999
PS12_020	GS13_017	U	-3321.86		-	16.14	189.96	9999
PS12_020	PS12_001	U	-3195.54		-	9.77	168.72	9999
PS12_020	PS12_002	U	-2937.00		-	11.45	157.09	9999
PS12_020	PS12_003	U	-3313.55		-	9.02	166.80	9999
PS12_020	PS12_004	HS	-2761.29		0.88	-	126.87	9999
PS12_020	PS12_005	U	-3185.38		-	35.23	211.83	9999
PS12_020	PS12_006	U	-3284.73		-	1.97	152.64	9999
PS12_020	PS12_007	HS	-3069.42		3.44	-	144.32	9999
PS12_020	PS12_008	U	-3308.57		-	15.13	187.85	9999
PS12_020	PS12_009	U	-3088.17		-	33.32	206.98	9999
PS12_020	PS12_010	U	-2699.13		-	16.84	149.03	9999
PS12_020	PS12_011	U	-2806.84		-	12.05	150.04	9999
PS12_020	PS12_012	HS	-3281.42		5.61	-	142.59	9999
PS12_020	PS12_013	U	-3097.27		-	18.69	180.96	9999
PS12_020	PS12_016	U	-3347.10		-	20.78	190.70	9999
PS12_020	PS12_017	U	-3350.98		-	20.70	191.46	9999
PS12_020	PS12_018	U	-3204.52		-	17.42	180.86	9999
PS12_020	PS12_019	U	-3013.41		-	28.89	190.86	9999
PS12_021	GS13_001	U	-3339.79		-	26.56	205.14	9999
PS12_021	GS13_002	U	-2596.21		-	45.12	210.60	9999
PS12_021	GS13_003	U	-3133.40		-	10.98	167.48	9999
PS12_021	GS13_004	U	-2745.49		-	40.00	201.94	9999
PS12_021	GS13_005	U	-3327.04		-	46.77	242.27	9999
PS12_021	GS13_006	U	-3288.53		-	18.25	187.45	9999
PS12_021	GS13_007	U	-2887.66		-	57.44	250.35	9999
PS12_021	GS13_008	U	-3231.40		-	32.46	209.63	9999
PS12_021	GS13_009	U	-2596.92		-	34.40	183.90	9999
PS12_021	GS13_010	U	-2768.06		-	17.53	157.28	9999
PS12_021	GS13_011	U	-3174.20		-	29.08	203.54	9999
PS12_021	GS13_012	U	-3306.17		-	28.36	202.37	9999
PS12_021	GS13_013	U	-3167.90		-	29.81	205.68	9999
PS12_021	GS13_014	U	-3188.40		-	32.09	205.16	9999
PS12_021	GS13_015	U	-3014.08		-	55.22	251.61	9999
PS12_021	GS13_016	U	-3245.80		-	37.77	224.86	9999
PS12_021	GS13_017	U	-3234.14		-	38.41	224.72	9999
PS12_021	PS12_001	U	-3132.51		-	17.45	188.73	9999
PS12_021	PS12_002	U	-2888.42		-	17.76	158.44	9999
PS12_021	PS12_003	U	-3235.00		-	21.43	192.97	9999
PS12_021	PS12_004	U	-2752.01		-	37.21	196.01	9999
PS12_021	PS12_005	U	-3107.48		-	34.63	205.00	9999
PS12_021	PS12_006	U	-3209.46		-	10.35	168.02	9999
PS12_021	PS12_007	U	-2998.71		-	33.11	205.19	9999
PS12_021	PS12_008	U	-3238.89		-	41.69	241.30	9999
PS12_021	PS12_009	U	-3024.40		-	27.92	196.11	9999
PS12_021	PS12_010	U	-2650.06		-	22.87	175.60	9999
PS12_021	PS12_011	U	-2764.90		-	37.56	208.65	9999
PS12_021	PS12_012	U	-3203.59		-	33.75	206.80	9999
PS12_021	PS12_013	U	-3055.99		-	42.23	222.17	9999
PS12_021	PS12_016	U	-3279.00		-	36.33	212.59	9999
PS12_021	PS12_017	U	-3273.95		-	36.95	212.80	9999
PS12_021	PS12_018	U	-3138.57		-	21.69	182.97	9999
PS12_021	PS12_019	U	-2964.61		-	30.88	194.50	9999
PS12_021	PS12_020	U	-3236.54		-	15.97	182.17	9999
PS12_022	GS13_001	U	-3435.43		-	46.05	250.70	9999
PS12_022	GS13_002	U	-2666.21		-	32.76	190.10	9999
PS12_022	GS13_003	U	-3195.71		-	45.72	243.64	9999
PS12_022	GS13_004	U	-2790.99		-	15.73	161.08	9999
PS12_022	GS13_005	U	-3418.60		-	39.75	242.30	9999
PS12_022	GS13_006	U	-3377.54		-	53.69	263.67	9999
PS12_022	GS13_007	U	-2939.93		-	29.89	194.62	9999
PS12_022	GS13_008	U	-3313.97		-	43.30	229.01	9999
PS12_022	GS13_009	U	-2639.50		-	27.70	180.92	9999
PS12_022	GS13_010	U	-2839.55		-	30.32	181.04	9999
PS12_022	GS13_011	U	-3248.95		-	43.66	228.17	9999
PS12_022	GS13_012	U	-3398.95		-	9.80	177.39	9999
PS12_022	GS13_013	U	-3255.78		-	26.00	210.20	9999
PS12_022	GS13_014	U	-3255.84		-	28.34	210.74	9999
PS12_022	GS13_015	U	-3097.73		-	8.40	175.26	9999
PS12_022	GS13_016	U	-3311.73		-	37.02	216.10	9999
PS12_022	GS13_017	U	-3320.18		-	46.80	240.10	9999
PS12_022	PS12_001	U	-3212.68		-	27.21	194.78	9999
PS12_022	PS12_002	U	-2961.72		-	30.84	188.01	9999
PS12_022	PS12_003	U	-3308.03		-	26.17	198.11	9999
PS12_022	PS12_004	U	-2787.74		-	23.29	168.59	9999
PS12_022	PS12_005	U	-3204.45		-	18.59	181.84	9999
PS12_022	PS12_006	U	-3301.48		-	18.37	179.03	9999
PS12_022	PS12_007	U	-3078.00		-	26.51	186.08	9999
PS12_022	PS12_008	U	-3327.57		-	19.96	182.64	9999
PS12_022	PS12_009	U	-3103.71		-	20.15	173.88	9999
PS12_022	PS12_010	U	-2737.51		-	32.60	188.87	9999
PS12_022	PS12_011	U	-2825.91		-	21.82	173.47	9999
PS12_022	PS12_012	U	-3293.08		-	40.39	224.72	9999
PS12_022	PS12_013	U	-3115.47		-	55.54	251.17	9999
PS12_022	PS12_016	U	-3368.66		-	47.55	240.37	9999
PS12_022	PS12_017	U	-3366.61		-	47.76	241.74	9999
PS12_022	PS12_018	U	-3227.18		-	30.23	196.37	9999
PS12_022	PS12_019	U	-3018.25		-	33.30	192.45	9999
PS12_022	PS12_020	U	-3315.91		-	21.16	188.98	9999
PS12_022	PS12_021	U	-3252.49		-	35.73	227.22	9999
PS12_023	GS13_001	U	-2805.20		-	21.71	168.34	9999
PS12_023	GS13_002	U	-2257.98		-	28.52	154.02	9999
PS12_023	GS13_003	U	-2665.29		-	21.57	171.61	9999
PS12_023	GS13_004	U	-2409.74		-	26.03	160.96	9999
PS12_023	GS13_005	U	-2797.70		-	29.36	178.14	9999
PS12_023	GS13_006	U	-2774.19		-	25.74	183.00	9999
PS12_023	GS13_007	U	-2477.79		-	38.92	176.81	9999
PS12_023	GS13_008	U	-2720.25		-	23.83	173.80	9999
PS12_023	GS13_009	U	-2330.63		-	13.16	132.19	9999
PS12_023	GS13_010	U	-2446.11		-	18.07	135.83	9999
PS12_023	GS13_011	U	-2688.39		-	43.85	196.44	9999
PS12_023	GS13_012	U	-2801.56		-	13.53	161.29	9999
PS12_023	GS13_013	U	-2763.26		-	2.29	138.75	9999
PS12_023	GS13_014	U	-2713.30		-	27.01	174.64	9999
PS12_023	GS13_015	U	-2596.58		-	7.89	144.19	9999
PS12_023	GS13_016	U	-2734.65		-	16.48	150.06	9999
PS12_023	GS13_017	U	-2741.93		-	17.11	161.14	9999
PS12_023	PS12_001	U	-2684.86		-	41.36	196.41	9999
PS12_023	PS12_002	U	-2522.89		-	24.51	165.66	9999
PS12_023	PS12_003	U	-2720.06		-	43.91	193.93	9999
PS12_023	PS12_004	U	-2458.64		-	32.72	171.71	9999
PS12_023	PS12_005	U	-2628.54		-	11.65	136.49	9999
PS12_023	PS12_006	U	-2677.07		-	29.49	169.70	9999
PS12_023	PS12_007	U	-2623.25		-	24.54	166.24	9999
PS12_023	PS12_008	U	-2699.55		-	13.17	165.01	9999
PS12_023	PS12_009	U	-2627.70		-	22.82	160.63	9999
PS12_023	PS12_010	U	-2368.47		-	26.47	147.65	9999
PS12_023	PS12_011	U	-2340.28		-	38.29	185.67	9999
PS12_023	PS12_012	U	-2710.68		-	22.09	157.27	9999
PS12_023	PS12_013	U	-2599.76		-	41.66	196.85	9999
PS12_023	PS12_016	U	-2740.99		-	49.72	217.89	9999
PS12_023	PS12_017	U	-2738.60		-	51.33	220.35	9999
PS12_023	PS12_018	U	-2634.66		-	47.59	199.96	9999
PS12_023	PS12_019	U	-2572.63		-	9.11	131.29	9999
PS12_023	PS12_020	U	-2730.78		-	17.46	158.41	9999
PS12_023	PS12_021	U	-2689.87		-	31.41	179.77	9999
PS12_023	PS12_022	U	-2765.47		-	5.85	139.55	9999
PS12_024	GS13_001	U	-3459.98		-	19.21	195.55	9999
PS12_024	GS13_002	U	-2663.24		-	14.68	155.52	9999
PS12_024	GS13_003	U	-3195.64		-	30.30	213.93	9999
PS12_024	GS13_004	U	-2786.25		-	9.53	156.59	9999
PS12_024	GS13_005	U	-3425.13		-	37.38	233.57	9999
PS12_024	GS13_006	U	-3404.71		-	20.85	212.69	9999
PS12_024	GS13_007	U	-2945.34		-	23.62	186.07	9999
PS12_024	GS13_008	U	-3338.68		-	15.95	193.92	9999
PS12_024	GS13_009	U	-2608.12		-	31.65	184.43	9999
PS12_024	GS13_010	U	-2852.60		-	13.76	166.77	9999
PS12_024	GS13_011	U	-3281.88		-	21.75	191.03	9999
PS12_024	GS13_012	U	-3424.27		-	39.53	229.01	9999
PS12_024	GS13_013	U	-3268.87		-	7.39	161.22	9999
PS12_024	GS13_014	U	-3259.00		-	31.17	206.64	9999
PS12_024	GS13_015	U	-3113.64		-	18.92	181.49	9999
PS12_024	GS13_016	U	-3344.05		-	24.34	202.71	9999
PS12_024	GS13_017	U	-3358.30		-	41.22	233.76	9999
PS12_024	PS12_001	U	-3235.57		-	41.28	222.79	9999
PS12_024	PS12_002	U	-2957.58		-	25.27	189.06	9999
PS12_024	PS12_003	U	-3333.50		-	13.79	186.07	9999
PS12_024	PS12_004	U	-2789.82		-	22.57	170.97	9999
PS12_024	PS12_005	U	-3218.35		-	39.35	211.16	9999
PS12_024	PS12_006	U	-3315.33		-	26.52	206.07	9999
PS12_024	PS12_007	U	-3120.18		-	13.72	177.44	9999
PS12_024	PS12_008	U	-3345.48		-	25.57	202.59	9999
PS12_024	PS12_009	U	-3123.62		-	20.38	179.44	9999
PS12_024	PS12_010	U	-2737.78		-	37.05	200.75	9999
PS12_024	PS12_011	U	-2831.38		-	11.51	146.04	9999
PS12_024	PS12_012	U	-3323.29		-	17.20	188.15	9999
PS12_024	PS12_013	U	-3132.80		-	2.69	161.48	9999
PS12_024	PS12_016	U	-3378.79		-	14.15	179.47	9999
PS12_024	PS12_017	U	-3379.08		-	14.96	181.64	9999
PS12_024	PS12_018	U	-3246.59		-	0.80	143.18	9999
PS12_024	PS12_019	U	-3047.79		-	16.81	177.29	9999
PS12_024	PS12_020	U	-3343.76		-	15.62	190.90	9999
PS12_024	PS12_021	U	-3262.70		-	15.58	176.78	9999
PS12_024	PS12_022	U	-3343.66		-	1.11	158.57	9999
PS12_024	PS12_023	U	-2744.98		-	39.35	206.38	9999
PS12_025	GS13_001	U	-3489.97		-	16.65	193.09	9999
PS12_025	GS13_002	U	-2676.88		-	36.41	187.25	9999
PS12_025	GS13_003	U	-3210.25		-	29.38	207.76	9999
PS12_025	GS13_004	U	-2835.33		-	45.11	218.94	9999
PS12_025	GS13_005	U	-3461.82		-	22.15	215.54	9999
PS12_025	GS13_006	U	-3446.38		-	20.49	210.25	9999
PS12_025	GS13_007	U	-2989.94		-	12.91	163.41	9999
PS12_025	GS13_008	U	-3367.66		-	35.32	217.69	9999
PS12_025	GS13_009	U	-2651.40		-	18.08	157.59	9999
PS12_025	GS13_010	U	-2844.96		-	27.35	178.34	9999
PS12_025	GS13_011	U	-3319.01		-	48.41	252.67	9999
PS12_025	GS13_012	U	-3447.96		-	42.39	252.20	9999
PS12_025	GS13_013	U	-3312.08		-	33.70	220.97	9999
PS12_025	GS13_014	U	-3301.97		-	24.95	199.87	9999
PS12_025	GS13_015	U	-3135.63		-	6.88	171.72	9999
PS12_025	GS13_016	U	-3384.07		-	28.05	225.83	9999
PS12_025	GS13_017	U	-3391.74		-	36.87	234.25	9999
PS12_025	PS12_001	U	-3262.54		-	37.44	225.64	9999
PS12_025	PS12_002	U	-2981.42		-	31.23	191.60	9999
PS12_025	PS12_003	U	-3376.12		-	32.69	220.20	9999
PS12_025	PS12_004	U	-2805.42		-	21.20	178.05	9999
PS12_025	PS12_005	U	-3247.79		-	44.59	220.08	9999
PS12_025	PS12_006	U	-3355.48		-	32.03	227.40	9999
PS12_025	PS12_007	U	-3139.91		-	23.17	181.26	9999
PS12_025	PS12_008	U	-3381.75		-	36.86	235.10	9999
PS12_025	PS12_009	U	-3133.70		-	27.26	209.36	9999
PS12_025	PS12_010	U	-2757.26		-	31.78	177.85	9999
PS12_025	PS12_011	U	-2852.63		-	33.66	209.64	9999
PS12_025	PS12_012	U	-3350.37		-	15.59	186.34	9999
PS12_025	PS12_013	U	-3158.55		-	27.67	201.00	9999
PS12_025	PS12_016	U	-3410.18		-	36.19	216.47	9999
PS12_025	PS12_017	U	-3413.75		-	34.72	213.89	9999
PS12_025	PS12_018	U	-3276.63		-	24.56	196.22	9999
PS12_025	PS12_019	U	-3063.80		-	9.56	166.55	9999
PS12_025	PS12_020	U	-3367.15		-	23.45	197.72	9999
PS12_025	PS12_021	U	-3293.51		-	37.49	224.46	9999
PS12_025	PS12_022	U	-3396.37		-	16.18	183.42	9999
PS12_025	PS12_023	U	-2742.41		-	26.23	164.19	9999
PS12_025	PS12_024	U	-3409.35		-	10.43	192.25	9999
PS12_026	GS13_001	U	-3219.95		-	65.97	275.78	9999
PS12_026	GS13_002	U	-2480.14		-	36.37	179.12	9999
PS12_026	GS13_003	U	-3025.41		-	72.87	271.62	9999
PS12_026	GS13_004	U	-2632.06		-	51.23	221.33	9999
PS12_026	GS13_005	U	-3203.24		-	63.01	272.22	9999
PS12_026	GS13_006	U	-3164.61		-	80.12	293.16	9999
PS12_026	GS13_007	U	-2775.70		-	67.26	255.13	9999
PS12_026	GS13_008	U	-3126.28		-	72.45	288.31	9999
