LIST OF LOGLIKELIHOODS

This output shows the Ln(Likelihood) for each of the four following
relationships:

U  = Unrelated
HS = Half Sibs
FS = Full Sibs
PO = Parent / Offspring

Interpretation

R                     This column lists the relationship with the highest likelihood.
LnL(R)                This column lists the log likelihood of R
Delta Ln(L)           These columns list how much lower the log likelihoods are for
                          the other relationships. For example, if there is a 2.1
                          the FS column, it means that the loglikelihood of the
                          individuals being full sibs is 2.1 less than the
                          loglikelihood of the relationship with the highest
                          likelihood.

Note:                 A Delta Ln(L) of '9999' indicates that the relationship
                           is not possible.


						Delta Ln(L)
Ind1	Ind2	R	LnL(R)		U	HS	FS	PO
GS13_014	GS13_009	U	-2627.37		-	8.27	138.18	9999
GS13_014	GS13_010	U	-2778.85		-	19.94	163.90	9999
GS13_014	GS13_011	U	-3181.51		-	3.52	153.19	9999
GS13_014	GS13_012	U	-3288.32		-	15.16	183.78	9999
GS13_014	GS13_013	U	-3173.06		-	24.30	197.90	9999
GS13_015	GS13_001	U	-3162.38		-	35.39	204.67	9999
GS13_015	GS13_002	U	-2487.93		-	16.86	141.31	9999
GS13_015	GS13_003	U	-2981.72		-	21.11	179.99	9999
GS13_015	GS13_004	HS	-2630.36		4.27	-	112.85	9999
GS13_015	GS13_005	U	-3148.98		-	32.34	210.48	9999
GS13_015	GS13_006	U	-3113.19		-	21.41	185.37	9999
GS13_015	GS13_007	U	-2784.16		-	38.38	202.05	9999
GS13_015	GS13_008	U	-3045.93		-	32.73	204.70	9999
GS13_015	GS13_009	U	-2529.76		-	26.08	157.98	9999
GS13_015	GS13_010	U	-2724.01		-	23.83	168.23	9999
GS13_015	GS13_011	U	-3015.71		-	30.45	190.87	9999
GS13_015	GS13_012	HS	-3131.33		6.84	-	155.67	9999
GS13_015	GS13_013	U	-3052.19		-	25.16	191.27	9999
GS13_015	GS13_014	U	-3030.47		-	34.49	206.98	9999
GS13_016	GS13_001	U	-3413.14		-	11.39	184.89	9999
GS13_016	GS13_002	U	-2650.93		-	22.76	166.07	9999
GS13_016	GS13_003	U	-3155.70		-	4.37	170.02	9999
GS13_016	GS13_004	U	-2765.73		-	28.43	174.10	9999
GS13_016	GS13_005	U	-3399.15		-	1.10	150.54	9999
GS13_016	GS13_006	U	-3365.49		-	9.01	189.20	9999
GS13_016	GS13_007	U	-2912.04		-	27.67	183.87	9999
GS13_016	GS13_008	U	-3312.65		-	29.21	214.08	9999
GS13_016	GS13_009	U	-2639.35		-	30.58	185.97	9999
GS13_016	GS13_010	U	-2825.28		-	45.45	219.97	9999
GS13_016	GS13_011	U	-3267.17		-	14.83	173.03	9999
GS13_016	GS13_012	U	-3391.48		-	23.25	211.16	9999
GS13_016	GS13_013	U	-3222.04		-	36.28	223.71	9999
GS13_016	GS13_014	U	-3247.96		-	27.11	199.38	9999
GS13_016	GS13_015	U	-3052.94		-	47.29	227.69	9999
GS13_017	GS13_001	U	-3415.78		-	32.56	222.01	9999
GS13_017	GS13_002	U	-2595.74		-	39.26	204.20	9999
GS13_017	GS13_003	U	-3159.94		-	40.91	222.79	9999
GS13_017	GS13_004	U	-2770.68		-	19.58	157.51	9999
GS13_017	GS13_005	U	-3394.33		-	25.47	218.13	9999
GS13_017	GS13_006	U	-3366.95		-	36.47	229.03	9999
GS13_017	GS13_007	U	-2939.79		-	20.84	174.56	9999
GS13_017	GS13_008	U	-3304.47		-	33.22	224.28	9999
GS13_017	GS13_009	U	-2610.70		-	44.44	203.10	9999
GS13_017	GS13_010	U	-2823.29		-	39.82	198.18	9999
GS13_017	GS13_011	U	-3251.47		-	21.57	192.55	9999
GS13_017	GS13_012	U	-3392.54		-	4.89	170.02	9999
GS13_017	GS13_013	U	-3226.60		-	28.01	212.13	9999
GS13_017	GS13_014	U	-3237.08		-	41.94	231.25	9999
GS13_017	GS13_015	U	-3095.49		-	2.20	150.22	9999
GS13_017	GS13_016	U	-3316.57		-	28.90	204.32	9999
PS12_001	GS13_001	U	-3298.71		-	16.89	184.90	9999
PS12_001	GS13_002	U	-2585.89		-	31.94	179.34	9999
PS12_001	GS13_003	U	-3088.17		-	37.62	214.57	9999
PS12_001	GS13_004	U	-2671.88		-	18.96	154.53	9999
PS12_001	GS13_005	U	-3291.72		-	32.80	227.42	9999
PS12_001	GS13_006	U	-3249.05		-	39.33	223.40	9999
PS12_001	GS13_007	U	-2845.54		-	25.46	170.55	9999
PS12_001	GS13_008	U	-3193.31		-	19.93	186.30	9999
PS12_001	GS13_009	U	-2560.73		-	24.80	157.10	9999
PS12_001	GS13_010	U	-2754.66		-	30.85	185.64	9999
PS12_001	GS13_011	HS	-3144.63		1.97	-	153.29	9999
